ano_orcamento;cod_centro;desc_centro;grupo_centro
2021;2021-30303040201;TECNICO DE NIVEL MEDIO PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021;2021-30303040401;TECNICO DE NIVEL MEDIO A DISTANCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021;2021-30303040501;TECNICO ITINERARIO ENSINO MEDIO;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017;2017-30301010201;EDUCACAO INFANTIL PRE-ESCOLA;ESCOLA
2017;2017-30301020101;ENSINO FUNDAMENTAL 1 AO 5;ESCOLA
2017;2017-30301020201;ENSINO FUNDAMENTAL 6 AO 9;ESCOLA
2017;2017-30301030101;ENSINO MEDIO REGULAR;ESCOLA
2017;2017-30301030102;ENSINO MEDIO REGUL ARTICULADO SESI SENAI;ESCOLA
2017;2017-30301040301;EJA FUNDAMENTAL II;ESCOLA
2017;2017-30301040401;EJA ENSINO MEDIO;ESCOLA
2017;2017-30302010101;EDUCACAO CONTINUADA EM EDUCACAO;EDUCAÇÃO CONTINUADA
2017;2017-30302010102;FIEMS ATUANTE;EDUCAÇÃO CONTINUADA
2017;2017-30302010301;EDUCACAO CONTINUADA EM SAUDE;EDUCAÇÃO CONTINUADA
2017;2017-30302010401;EDUC CONT ARTICULACAO E INFLUENCIA EM QV;EDUCAÇÃO CONTINUADA
2017;2017-30302010501;EDUCACAO CONTINUADA EM PROMOCAO DA SAUDE;EDUCAÇÃO CONTINUADA
2017;2017-30302020101;EVENTOS EDUCATIVOS EM EDUCACAO;EDUCAÇÃO CONTINUADA
2017;2017-30302020201;EVENTOS EDUCATIVOS EM SAUDE E SEGURANCA;EDUCAÇÃO CONTINUADA
2017;2017-30302020301;EVENTOS EDUCAT. EM ARTICUL. INFLUEN. SEG;EDUCAÇÃO CONTINUADA
2017;2017-30302020401;EVENTOS EDUCATIVOS EM PROMOCAO DA SAUDE;EDUCAÇÃO CONTINUADA
2017;2017-30304010101;FACULDADE SENAI;EDUCAÇÃO SUPERIOR
2017;2017-30304010301;POS GRADUACAO LATO SENSU ESPECIALIZA;EDUCAÇÃO SUPERIOR
2017;2017-30304011101;POS GRAD LATO SENSU ESPECIALIZ EAD;EDUCAÇÃO SUPERIOR
2017;2017-30305010101;CAPACITACAO EMPRESARIAL;EDUCAÇÃO EXECUTIVA
2017;2017-30305010102;MODERNIZACAO EDUCACAO EXECUTIVA;EDUCAÇÃO EXECUTIVA
2017;2017-30306010101;IEL ESTAGIO;ESTAGIO E DESENVOLVIMENTO DA CARREIRA
2017;2017-30306010102;FOCO NA CARREIRA;ESTAGIO E DESENVOLVIMENTO DA CARREIRA
2017;2017-30307010301;INDUSTRIA DO CONHECIMENTO_CONSTRUCAO;BIBLIOTECAS
2017;2017-30307010302;BIBLIOTECA NAS ESCOLAS DO SESI;BIBLIOTECAS
2017;2017-30307010303;INDUSTRIA DO CONHECIMENTO (ENI) CUSTEIO;BIBLIOTECAS
2017;2017-30307010305;REFORMA ADEQ. IND. CONHECIMENTO 2017;BIBLIOTECAS
2017;2017-30307010306;DIFUSÃO DO CONHECIMENTO;BIBLIOTECAS
2017;2017-30307010801;OLIMPIADAS DO CONHECIMENTO;BIBLIOTECAS
2017;2017-30311010101;T&D DA EDUCACAO PROFISSIONAL;T&D
2017;2017-30311010102;T&D DA EDUCACAO;T&D
2017;2017-30311010103;ENCONTRO PEDAGOGICO DOCENTES SENAI MS;T&D
2017;2017-30311010104;T&D DO IEL ESTAGIO;T&D
2018;2018-30301010102;REFORMA CENTRO TRES LAGOAS - ED INFANTIL;ESCOLA
2018;2018-30301010201;EDUCACAO INFANTIL - PRE-ESCOLA;ESCOLA
2018;2018-30301020101;ENSINO FUNDAMENTAL - 1º AO 5º ANO;ESCOLA
2018;2018-30301020201;ENSINO FUNDAMENTAL - 6º AO 9º ANO;ESCOLA
2018;2018-30301030101;ENSINO MEDIO REGULAR;ESCOLA
2018;2018-30301030102;ENSINO MEDIO REG. ARTICULADO SESI-SENAI;ESCOLA
2018;2018-30302010101;EDUCACAO CONTINUADA EM EDUCACAO;EDUCAÇÃO CONTINUADA
2018;2018-30302010301;EDUCACAO CONTINUADA EM SAUDE E SEGURANCA;EDUCAÇÃO CONTINUADA
2018;2018-30302010401;EDUCACAO CONTINUADA EM ETICA, SUSTENTABI;EDUCAÇÃO CONTINUADA
2018;2018-30302010501;EDUCAÇÃO CONTINUADA EM PROMOÇÃO DA SAÚDE;EDUCAÇÃO CONTINUADA
2018;2018-30302020101;EVENTOS EDUCATIVOS EM COMPETENCIA E HABI;EDUCAÇÃO CONTINUADA
2018;2018-30302020201;EVENTOS EDUCATIVOS EM SST;EDUCAÇÃO CONTINUADA
2018;2018-30302020301;EVENTOS EDUCATIVOS EM ETICA, SUSTENTABIL;EDUCAÇÃO CONTINUADA
2018;2018-30302020401;EVENTOS EDUCATIVOS EM PROMOCAO DA SAUDE;EDUCAÇÃO CONTINUADA
2018;2018-30304010101;GRADUAÇÃO TECNOL. PRESENCIAL-FACULDADE;EDUCAÇÃO SUPERIOR
2018;2018-30304010301;PÓS-GRAD “LATO SENSU” – ESPEC. PRESENCIA;EDUCAÇÃO SUPERIOR
2018;2018-30304011101;PÓS-GRAD “LATO SENSU” – ESPEC. DISTÂNCIA;EDUCAÇÃO SUPERIOR
2018;2018-30305010101;CAPACITACAO EMPRESARIAL;EDUCAÇÃO EXECUTIVA
2018;2018-30305010102;MODERNIZACAO EDUCACAO EXECUTIVA;EDUCAÇÃO EXECUTIVA
2018;2018-30305010103;EDUCACAO EXECUTIVA;EDUCAÇÃO EXECUTIVA
2018;2018-30306010101;IEL ESTAGIO;ESTAGIO E DESENVOLVIMENTO DA CARREIRA
2018;2018-30307010301;INDUSTRIA DO CONHECIMENTO_CONSTRUCAO;BIBLIOTECAS
2018;2018-30307010302;BIBLIOTECA NAS ESCOLAS DO SESI;BIBLIOTECAS
2018;2018-30307010303;INDUSTRIA DO CONHECIMENTO (ENI) CUSTEIO;BIBLIOTECAS
2018;2018-30307010305;REFORMA ADEQ. IND. CONHECIMENTO 2017;BIBLIOTECAS
2018;2018-30307010306;DIFUSÃO DO CONHECIMENTO;BIBLIOTECAS
2018;2018-30307010701;PROJETO DETRANZINHO;BIBLIOTECAS
2018;2018-30307010801;OLIMPIADAS DO CONHECIMENTO;BIBLIOTECAS
2018;2018-30311010101;T&D DA EDUCACAO PROFISSIONAL;T&D
2018;2018-30311010102;T&D DA EDUCACAO;T&D
2018;2018-30311010103;ENCONTRO PEDAGOGICO DOCENTE SENAI MS;T&D
2018;2018-30311010104;T&D UNIDADE DESENVOLVIMENTO DE CARREIRA;T&D
2019;2019-30301010201;EDUCACAO INFANTIL - PRE-ESCOLA;ESCOLA
2019;2019-30301020101;ENSINO FUNDAMENTAL - 1º AO 5º ANO;ESCOLA
2019;2019-30301020201;ENSINO FUNDAMENTAL - 6º AO 9º ANO;ESCOLA
2019;2019-30301030101;ENSINO MEDIO REGULAR;ESCOLA
2019;2019-30301030102;ENSINO MEDIO REG ARTICULADO SESI-SENAI;ESCOLA
2019;2019-30301030201;ENSINO MÉDIO ITINERÁRIOS;ESCOLA
2019;2019-30302010101;EDUCACAO CONTINUADA EM EDUCACAO;EDUCAÇÃO CONTINUADA
2019;2019-30302010102;EDUCACAO CONTINUADA EM EDUCACAO STARTUP;EDUCAÇÃO CONTINUADA
2019;2019-30302010301;EDUCACAO CONTINUADA EM SAUDE E SEGURANCA;EDUCAÇÃO CONTINUADA
2019;2019-30302010401;EDUCACAO CONTINUADA EM ETICA, SUSTENTABI;EDUCAÇÃO CONTINUADA
2019;2019-30302010402;EDUCACAO CONTINUADA EM ETICA STARTUP;EDUCAÇÃO CONTINUADA
2019;2019-30302010501;EDUCACAO CONTINUADA EM PROMOCAO DA SAUDE;EDUCAÇÃO CONTINUADA
2019;2019-30302020101;EVENTOS EDUCATIVOS EM EDUCACAO;EDUCAÇÃO CONTINUADA
2019;2019-30302020201;EVENTOS EDUCATIVOS EM SST;EDUCAÇÃO CONTINUADA
2019;2019-30302020301;EVENTOS EDUCATIVOS EM ETICA, SUSTENTABIL;EDUCAÇÃO CONTINUADA
2019;2019-30302020401;EVENTOS EDUCATIVOS EM PROMOCAO DA SAUDE;EDUCAÇÃO CONTINUADA
2019;2019-30304010101;GRADUACAO TECNOL PRESENCIAL-FACULDADE;EDUCAÇÃO SUPERIOR
2019;2019-30304010301;POS-GRAD “LATO SENSU” – ESPEC PRESENCIAL;EDUCAÇÃO SUPERIOR
2019;2019-30304011101;POS-GRAD “LATO SENSU” – ESPEC DISTÂNCIA;EDUCAÇÃO SUPERIOR
2019;2019-30305010101;CAPACITACAO EMPRESARIAL;EDUCAÇÃO EXECUTIVA
2019;2019-30305010103;EDUCACAO EXECUTIVA;EDUCAÇÃO EXECUTIVA
2019;2019-30306010101;IEL ESTAGIO;ESTAGIO E DESENVOLVIMENTO DA CARREIRA
2019;2019-30307010301;INDUSTRIA DO CONHECIMENTO_CONSTRUÇÃO;BIBLIOTECAS
2019;2019-30307010302;BIBLIOTECA NAS ESCOLAS DO SESI;BIBLIOTECAS
2019;2019-30307010303;INDUSTRIA DO CONHECIMENTO (ENI) CUSTEIO;BIBLIOTECAS
2019;2019-30307010306;DIFUSAO DO CONHECIMENTO;BIBLIOTECAS
2019;2019-30307010801;OLIMPIADAS DO CONHECIMENTO;BIBLIOTECAS
2019;2019-30311010101;T&D DA EDUCACAO;T&D
2019;2019-30311010102;T&D DA GERENCIA DA EDUCACAO;T&D
2019;2019-30311010103;ENCONTRO PEDAGOGICO DOCENTE SENAI MS;T&D
2019;2019-30311010104;T&D UNIDADE DESENVOLVIMENTO CARREIRA;T&D
2019;2019-30311010105;T&D DA ASSESSORIA POLITICAS EDUCACIONAIS;T&D
2019;2019-30311010106;T&D DA ASSESSORIA DE ENSINO SUPERIOR;T&D
2019;2019-30311010107;T&D DA ASSESSORIA EAD;T&D
2020;2020-30301010201;EDUCACAO INFANTIL - PRE-ESCOLA;ESCOLA
2020;2020-30301020101;ENSINO FUNDAMENTAL - 1º AO 5º ANO;ESCOLA
2020;2020-30301020201;ENSINO FUNDAMENTAL - 6º AO 9º ANO;ESCOLA
2020;2020-30301030101;ENSINO MEDIO REGULAR;ESCOLA
2020;2020-30301030102;ENSINO MEDIO REG ARTICULADO SESI-SENAI;ESCOLA
2020;2020-30301030201;ENSINO MEDIO ITINERARIOS;ESCOLA
2020;2020-30302010101;EDUCACAO CONTINUADA EM EDUCACAO;EDUCAÇÃO CONTINUADA
2020;2020-30302010102;EDUCACAO CONTINUADA EM EDUCACAO STARTUP;EDUCAÇÃO CONTINUADA
2020;2020-30302010301;EDUCACAO CONTINUADA EM SAUDE E SEGURANCA;EDUCAÇÃO CONTINUADA
2020;2020-30302010401;EDUCACAO CONTINUADA EM ETICA, SUSTENTABI;EDUCAÇÃO CONTINUADA
2020;2020-30302010402;EDUCACAO CONTINUADA EM ETICA STARTUP;EDUCAÇÃO CONTINUADA
2020;2020-30302010501;EDUCACAO CONTINUADA EM PROMOCAO DA SAUDE;EDUCAÇÃO CONTINUADA
2020;2020-30302020101;EVENTOS EDUCATIVOS EM EDUCACAO;EDUCAÇÃO CONTINUADA
2020;2020-30302020201;EVENTOS EDUCATIVOS EM SST;EDUCAÇÃO CONTINUADA
2020;2020-30302020301;EVENTOS EDUCATIVOS EM ETICA, SUSTENTABIL;EDUCAÇÃO CONTINUADA
2020;2020-30302020401;EVENTOS EDUCATIVOS EM PROMOCAO DA SAUDE;EDUCAÇÃO CONTINUADA
2020;2020-30304010101;GRADUACAO TECNOL PRESENCIAL-FACULDADE;EDUCAÇÃO SUPERIOR
2020;2020-30304010301;POS-GRAD “LATO SENSU” – ESPEC PRESENCIAL;EDUCAÇÃO SUPERIOR
2020;2020-30304010601;CURSO DE EXTENSAO PRESENCIAL;EDUCAÇÃO SUPERIOR
2020;2020-30304011101;POS-GRAD “LATO SENSU” – ESPEC DISTÂNCIA;EDUCAÇÃO SUPERIOR
2020;2020-30305010101;CAPACITACAO EMPRESARIAL;EDUCAÇÃO EXECUTIVA
2020;2020-30305010103;EDUCACAO EXECUTIVA;EDUCAÇÃO EXECUTIVA
2020;2020-30306010101;IEL ESTAGIO;ESTAGIO E DESENVOLVIMENTO DA CARREIRA
2020;2020-30307010301;INDUSTRIA DO CONHECIMENTO_CONSTRUCAO;BIBLIOTECAS
2020;2020-30307010302;BIBLIOTECA NAS ESCOLAS DO SESI;BIBLIOTECAS
2020;2020-30307010303;INDUSTRIA DO CONHECIMENTO (ENI) CUSTEIO;BIBLIOTECAS
2020;2020-30307010306;DIFUSAO DO CONHECIMENTO;BIBLIOTECAS
2020;2020-30307010801;OLIMPIADAS DO CONHECIMENTO;BIBLIOTECAS
2020;2020-30311010101;T&D DA EDUCACAO PROFISSIONAL;T&D
2020;2020-30311010102;T&D DA GERENCIA DA EDUCACAO;T&D
2020;2020-30311010104;T&D UNIDADE DESENVOLVIMENTO CARREIRA;T&D
2020;2020-30311010105;T&D DA ASSESSORIA POLITICAS EDUCACIONAIS;T&D
2020;2020-30311010106;T&D DA ASSESSORIA DE ENSINO SUPERIOR;T&D
2020;2020-30311010107;T&D DA ASSESSORIA EAD;T&D
2021;2021-30301010201;EDUCACAO INFANTIL - PRE-ESCOLA;ESCOLA
2021;2021-30301020101;ENSINO FUNDAMENTAL - 1º AO 5º ANO;ESCOLA
2021;2021-30301020201;ENSINO FUNDAMENTAL - 6º AO 9º ANO;ESCOLA
2021;2021-30301030101;ENSINO MEDIO REGULAR;ESCOLA
2021;2021-30301030102;ENSINO MEDIO REG ARTICULADO SESI-SENAI;ESCOLA
2021;2021-30301030190;ACOES ESTRATEGICAS ENSINO MEDIO;ESCOLA
2021;2021-30301030201;ENSINO MEDIO ITINERARIOS;ESCOLA
2021;2021-30302010101;EDUCACAO CONTINUADA EM EDUCACAO;EDUCAÇÃO CONTINUADA
2021;2021-30302010102;EDUCACAO CONTINUADA EM EDUCACAO STARTUP;EDUCAÇÃO CONTINUADA
2021;2021-30302010401;EDUCACAO CONTINUADA EM ETICA, SUSTENTABI;EDUCAÇÃO CONTINUADA
2021;2021-30302020201;EVENTOS EDUCATIVOS EM SST;EDUCAÇÃO CONTINUADA
2021;2021-30302020401;EVENTOS EDUCATIVOS EM PROMOCAO DA SAUDE;EDUCAÇÃO CONTINUADA
2021;2021-30304010101;GRADUACAO TECNOL PRESENCIAL-FACULDADE;EDUCAÇÃO SUPERIOR
2021;2021-30304010301;POS-GRAD “LATO SENSU” – ESPEC PRESENCIAL;EDUCAÇÃO SUPERIOR
2021;2021-30304010601;CURSO DE EXTENSAO PRESENCIAL;EDUCAÇÃO SUPERIOR
2021;2021-30305010101;CAPACITACAO EMPRESARIAL;EDUCAÇÃO EXECUTIVA
2021;2021-30306010101;IEL ESTAGIO;ESTAGIO E DESENVOLVIMENTO DA CARREIRA
2021;2021-30307010301;INDUSTRIA DO CONHECIMENTO_CONSTRUCAO;BIBLIOTECAS
2021;2021-30307010302;BIBLIOTECA NAS ESCOLAS DO SESI;BIBLIOTECAS
2021;2021-30307010303;INDUSTRIA DO CONHECIMENTO (ENI) CUSTEIO;BIBLIOTECAS
2021;2021-30307010306;DIFUSAO DO CONHECIMENTO;BIBLIOTECAS
2021;2021-30307010801;OLIMPIADAS DO CONHECIMENTO;BIBLIOTECAS
2021;2021-30311010101;T&D DA EDUCACAO PROFISSIONAL;T&D
2021;2021-30311010102;T&D DA GERENCIA DA EDUCACAO;T&D
2021;2021-30311010104;T&D DA UND DESENVOLVIMENTO DE CARREIRA;T&D
2021;2021-30311010105;T&D DA ASSESSORIA POLITICAS EDUCACIONAIS;T&D
2021;2021-30311010106;T&D DA ASSESSORIA DE ENSINO SUPERIOR;T&D
2021;2021-30311010107;T&D DA ASSESSORIA EAD;T&D
2017;2017-30201010201;SERVICOS OPERACIONAIS VESTUARIO;SERVICOS OPERACIONAIS
2017;2017-30201010202;SERV OPER - VESTUÁRIO_2013;SERVICOS OPERACIONAIS
2017;2017-30201020101;CONSULTORIA EM GESTAO EMPRE;CONSULTORIA EM GESTAO EMPRESARIAL
2017;2017-30201020102;SERVICOS DE RECRUTAMENTO E SELECAO;CONSULTORIA EM GESTAO EMPRESARIAL
2017;2017-30201020104;A. C. G. E. ALIMENTOS_2013;CONSULTORIA EM GESTAO EMPRESARIAL
2017;2017-30201020107;PROGRAMA DE QUALIFICACAO DE FORNECEDORES;CONSULTORIA EM GESTAO EMPRESARIAL
2017;2017-30201020108;INOVA TALENTOS;CONSULTORIA EM GESTAO EMPRESARIAL
2017;2017-30201020201;CONSULTORIA EM PROCESSO PRODUTIVO;CONSULTORIA EM PROCESSO PRODUTIVO
2017;2017-30201020202;ASSES E CONSULT EM PROC PRO PSMI;CONSULTORIA EM PROCESSO PRODUTIVO
2017;2017-30201020204;CONSULTORIA EM PROC PRO MEIO AMBIENTE;CONSULTORIA EM PROCESSO PRODUTIVO
2017;2017-30201020206;CONSULTORIA EM PROC PRO ALIMENTOS;CONSULTORIA EM PROCESSO PRODUTIVO
2017;2017-30201020207;CONSULTORIA EM PROC PRO VESTUARIO;CONSULTORIA EM PROCESSO PRODUTIVO
2017;2017-30201020208;CONSULTORIA EM PROC PRO RENOV SOL ENERGE;CONSULTORIA EM PROCESSO PRODUTIVO
2017;2017-30201020209;PROG SENAI DE MANUTENCAO INDUSTRIAL - PS;CONSULTORIA EM PROCESSO PRODUTIVO
2017;2017-30201020210;PROG SENAI DE GESTAO ENERGETICA INDUSTRI;CONSULTORIA EM PROCESSO PRODUTIVO
2017;2017-30201020211;PROGRAMA SENAI DE LOGISTICA - PSL;CONSULTORIA EM PROCESSO PRODUTIVO
2017;2017-30201020401;CONSULT ATEND LEGISL NORMAS REGULAM TECN;CONSULT. ATEND.A NORMAS E LEGISLACOES
2017;2017-30201030102;ELAB DIS INFOR. PROP INTE_2013;ELABORACAO E DISSEMINACAO DE INFORMACOES
2017;2017-30201050101;ENSAIOS;ENSAIOS
2017;2017-30202010101;INOVACAO DE PRODUTO;PEQUISA, DESENV E INOVACAO DE PRODUTO
2017;2017-30202010102;PROJ. EDITAL DE INOVACAO - COSMETICO;PEQUISA, DESENV E INOVACAO DE PRODUTO
2017;2017-30202010103;PROJ EDITAL DE INOVACAO INVERSOR SOLAR;PEQUISA, DESENV E INOVACAO DE PRODUTO
2017;2017-30202010107;PROJ ED INOV VASO SANITARIO CURVA MOVEL;PEQUISA, DESENV E INOVACAO DE PRODUTO
2017;2017-30202010108;PROJ ED INOV PIRAO INSTANTANEO DE PEIXE;PEQUISA, DESENV E INOVACAO DE PRODUTO
2017;2017-30202010109;PROJ ED INOV PAZINHA DE SORVETE BIODEGRA;PEQUISA, DESENV E INOVACAO DE PRODUTO
2017;2017-30202010110;DESENV RACAO MELHOR PROC PROD DO JACARE;PEQUISA, DESENV E INOVACAO DE PRODUTO
2017;2017-30202010201;INOVACAO DE PROCESSO;PEQUISA, DESENV E INOVACAO DE PROCESSO
2017;2017-30202010208;PROJ ED INOV CARBONIZACAO COM ADICAO CO2;PEQUISA, DESENV E INOVACAO DE PROCESSO
2017;2017-30210010101;GERENCIA DA TECNOLOGIA E INOVACAO;GESTAO DA TECNOLOGIA E INOVACAO
2017;2017-30210010102;ASSESSORIA ATENDIMENTO EMPRESARIAL;GESTAO DA TECNOLOGIA E INOVACAO
2017;2017-30210010103;NUCLEO DE INOVACAO TECNOLOGICA;GESTAO DA TECNOLOGIA E INOVACAO
2017;2017-30210010104;GESTAO DA TECNOLOGIA E INOVACAO;GESTAO DA TECNOLOGIA E INOVACAO
2017;2017-30210010106;IST REFORMA E AMPL FATEC SENAI DOURAD;GESTAO DA TECNOLOGIA E INOVACAO
2017;2017-30210010107;INOVA SENAI;GESTAO DA TECNOLOGIA E INOVACAO
2017;2017-30210010108;LABORATORIO FISICO E QUIMICO;GESTAO DA TECNOLOGIA E INOVACAO
2017;2017-30210010110;INSTITUTO SENAI INOVACAO ISI BIOMASSA;GESTAO DA TECNOLOGIA E INOVACAO
2017;2017-30210010190;AÇÕES ESTRATEGICAS STI;GESTAO DA TECNOLOGIA E INOVACAO
2017;2017-30211010101;T&D DA TECNOLOGIA E INOVAÇÃO;ETD DA TECNOLOGIA E INOVACAO
2017;2017-30211010102;T&D DA ASSES. CONSULT. GESTÃO EMPRESAR;ETD DA TECNOLOGIA E INOVACAO
2018;2018-30201020101;GESTÃO EMPRESARIAL;CONSULTORIA EM GESTÃO EMPRESARIAL
2018;2018-30201020102;SERVICOS DE RECRUTAMENTO E SELECAO;CONSULTORIA EM GESTÃO EMPRESARIAL
2018;2018-30201020107;PROGRAMA DE QUALIFICACAO DE FORNECEDORES;CONSULTORIA EM GESTÃO EMPRESARIAL
2018;2018-30201020108;INOVA;CONSULTORIA EM GESTÃO EMPRESARIAL
2018;2018-30201020201;CONSULTORIA EM PROCESSO PRODUTIVO;CONSULTORIA EM PROCESSO PRODUTIVO
2018;2018-30201020202;CONSULTORIA EM PROCESSO PRODUTIVO PSMI;CONSULTORIA EM PROCESSO PRODUTIVO
2018;2018-30201020204;CONSULT PROCESSO PRODUTIVO MEIO AMBIENTE;CONSULTORIA EM PROCESSO PRODUTIVO
2018;2018-30201020206;CONSULT PROCESSO PRODUTIVO ALIMENTOS;CONSULTORIA EM PROCESSO PRODUTIVO
2018;2018-30201020207;CONSULT PROCESSO PRODUTIVO VESTUARIO;CONSULTORIA EM PROCESSO PRODUTIVO
2018;2018-30201020208;CONSULT PROC PRODUT RENOV SOL ENERGETICA;CONSULTORIA EM PROCESSO PRODUTIVO
2018;2018-30201020401;CONSULT. ATEND. NORMAS E LEGISLACAO;CONSULTORIA PARA ATENDIMENTO A LEGISLAÇÕ
2018;2018-30201050101;ENSAIOS;ENSAIOS
2018;2018-30210010101;GERENCIA DA TECNOLOGIA E INOVACAO;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2018;2018-30210010102;MÍDIAS STI - SENAI;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2018;2018-30210010103;NUCLEO DE INOVACAO TECNOLOGICA;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2018;2018-30210010104;GESTAO DA TECNOLOGIA E INOVACAO;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2018;2018-30210010107;INOVA SENAI;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2018;2018-30210010110;INSTITUTO SENAI INOVACAO ISI BIOMASSA;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2018;2018-30210010111;PLANO DE MODERNIZACAO TECNOL 2018-2021;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2018;2018-30211010101;T&D DA TECNOLOGIA E INOVACAO;ETD DA TECNOLOGIA E INOVAÇÃO
2018;2018-30211010102;T&D UNIDADE DESENVOLVIMENTO EMPRESARIAL;ETD DA TECNOLOGIA E INOVAÇÃO
2019;2019-30201020101;GESTAO EMPRESARIAL;CONSULTORIA EM GESTÃO EMPRESARIAL
2019;2019-30201020102;SERVICOS DE RECRUTAMENTO E SELECAO;CONSULTORIA EM GESTÃO EMPRESARIAL
2019;2019-30201020107;PROGRAMA DE QUALIFICACAO DE FORNECEDORES;CONSULTORIA EM GESTÃO EMPRESARIAL
2019;2019-30201020108;INOVA;CONSULTORIA EM GESTÃO EMPRESARIAL
2019;2019-30201020201;CONSULTORIA EM PROCESSO PRODUTIVO;CONSULTORIA EM PROCESSO PRODUTIVO
2019;2019-30201020202;CONSULTORIA EM PROCESSO PRODUTIVO PSMI;CONSULTORIA EM PROCESSO PRODUTIVO
2019;2019-30201020204;CONSULT PROCESSO PRODUTIVO MEIO AMBIENTE;CONSULTORIA EM PROCESSO PRODUTIVO
2019;2019-30201020206;CONSULT PROCESSO PRODUTIVO ALIMENTOS;CONSULTORIA EM PROCESSO PRODUTIVO
2019;2019-30201020207;CONSULT PROCESSO PRODUTIVO VESTUARIO;CONSULTORIA EM PROCESSO PRODUTIVO
2019;2019-30201020208;CONSULT PROC PRODUT RENOV SOL ENERGETICA;CONSULTORIA EM PROCESSO PRODUTIVO
2019;2019-30201020209;CONSULT PROCESSO PRODUTIVO SOFTWARE;CONSULTORIA EM PROCESSO PRODUTIVO
2019;2019-30201020401;CONSULT ATEND NORMAS E LEGISLACAO;CONSULTORIA PARA ATENDIMENTO A LEGISLAÇÕ
2019;2019-30201050101;ENSAIOS;ENSAIOS
2019;2019-30210010102;MÍDIAS STI - SENAI;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2019;2019-30210010103;NUCLEO DE INOVACAO TECNOLOGICA;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2019;2019-30210010104;GESTAO DA TECNOLOGIA E INOVACAO;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2019;2019-30210010107;INOVA SENAI;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2019;2019-30210010110;INSTITUTO SENAI INOVACAO ISI BIOMASSA;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2019;2019-30210010111;PLANO DE MODERNIZACAO TECNOL 2018-2021;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2019;2019-30210010112;PLANO DE MODER IST ALIMENTOS 2018-2021;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2019;2019-30211010101;T&D DA TECNOLOGIA E INOVACAO;ETD DA TECNOLOGIA E INOVAÇÃO
2019;2019-30211010102;T&D UNIDADE DESENVOLVIMENTO EMPRESARIAL;ETD DA TECNOLOGIA E INOVAÇÃO
2020;2020-30201020101;GESTAO EMPRESARIAL;CONSULTORIA EM GESTÃO EMPRESARIAL
2020;2020-30201020107;PROGRAMA DE QUALIFICACAO DE FORNECEDORES;CONSULTORIA EM GESTÃO EMPRESARIAL
2020;2020-30201020108;INOVA;CONSULTORIA EM GESTÃO EMPRESARIAL
2020;2020-30201020201;CONSULTORIA EM PROCESSO PRODUTIVO;CONSULTORIA EM PROCESSO PRODUTIVO
2020;2020-30201020202;CONSULTORIA EM PROCESSO PRODUTIVO PSMI;CONSULTORIA EM PROCESSO PRODUTIVO
2020;2020-30201020204;CONSULT PROCESSO PRODUTIVO MEIO AMBIENTE;CONSULTORIA EM PROCESSO PRODUTIVO
2020;2020-30201020206;CONSULT PROCESSO PRODUTIVO ALIMENTOS;CONSULTORIA EM PROCESSO PRODUTIVO
2020;2020-30201020207;CONSULT PROCESSO PRODUTIVO VESTUARIO;CONSULTORIA EM PROCESSO PRODUTIVO
2020;2020-30201020208;CONSULT PROC PRODUT RENOV SOL ENERGETICA;CONSULTORIA EM PROCESSO PRODUTIVO
2020;2020-30201020209;CONSULT PROCESSO PRODUTIVO SOFTWARE;CONSULTORIA EM PROCESSO PRODUTIVO
2020;2020-30201020401;CONSULT ATEND NORMAS E LEGISLACAO;CONSULTORIA PARA ATENDIMENTO A LEGISLAÇÕ
2020;2020-30201050101;ENSAIOS;ENSAIOS
2020;2020-30201050102;IMPLANTACAO DE LAB REDE SENAI DE BIOMOL;ENSAIOS
2020;2020-30210010102;MÍDIAS STI - SENAI;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2020;2020-30210010103;NUCLEO DE INOVACAO TECNOLOGICA;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2020;2020-30210010104;GESTAO DA TECNOLOGIA E INOVACAO;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2020;2020-30210010107;INOVA SENAI;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2020;2020-30210010110;INSTITUTO SENAI INOVACAO ISI BIOMASSA;GESTÃO DA TECNOLOGIA E INOVAÇÃO
